cam1_X,cam1_Y,cam2_X,cam2_Y
541.535300,493.858982,411.287070,451.598342
562.302904,497.911197,432.737353,454.336676
623.592665,508.041736,494.806258,456.618621
643.347215,511.080898,516.256541,458.444177
540.522246,475.117485,417.676516,431.973615
560.276797,478.156647,439.126799,433.799171
619.540449,488.287186,501.652093,437.450283
641.321108,491.832874,522.189598,439.732228
519.467365,469.714531,439.583188,421.020279
649.202448,456.995077,521.733209,404.133886
519.081304,452.042369,444.603467,408.697776
539.342382,455.644338,462.859027,410.979721
559.603460,459.246307,483.852922,412.348888
646.050725,438.534983,528.122655,384.965548
542.043859,402.965536,430.911797,358.951375
561.404445,405.667013,450.536524,359.864153
582.115769,409.268982,471.074030,361.689709
589.319707,430.430552,501.652093,377.206935
642.448756,420.074890,536.337657,364.428043
540.242874,384.055197,436.388465,338.870259
558.702968,387.206920,458.751526,341.152204
578.513799,390.358643,478.376254,342.521371
638.396540,400.264059,542.270714,345.716094
